
"Nome do sistema","Modelo do sistema","Tempo de conexão do Agente","Tempo de desconexão do Agente","Última sincronização","Nome de SO","Versão","Total de Ram","RAM usada","Tamanho total de disco (G)","Endereço MAC"
"LNHIGIENE01","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 08:33:28","","15-10-2024 08:34:27","Microsoft Windows 11 Pro x64","10.0.22631","8192","1481.9","235.60","48:BA:4E:BC:29:32"
"LNIMP01","VMware Virtual Platform","05-10-2024 16:42:44","","15-10-2024 08:46:50","Microsoft Windows Server 2012 R2 Datacenter x64","6.3.9600","8192","4326.9","39.70","00:50:56:8B:7F:57"
"LNINF00","HP EliteDesk 800 G1 SFF","04-10-2024 18:22:56","","15-10-2024 11:09:50","Microsoft Windows 10 Pro x64","10.0.19045","32768","8295.3","1820.20","FC:15:B4:D9:BB:D1"
"LNINF01","HP EliteDesk 800 G1 SFF","15-10-2024 08:30:53","","15-10-2024 08:32:37","Microsoft Windows 11 Pro x64","10.0.22000","32768","15603.6","1152.20","FC:15:B4:D9:CB:74"
"LNINF02","XPS 8300","15-10-2024 13:14:57","","14-10-2024 10:21:07","Microsoft Windows 11 Pro x64","10.0.22631","8192","5480.1","220.80","78:2B:CB:C2:6E:AE"
"LNINF03","11DUSGAP00","04-10-2024 18:22:55","","15-10-2024 11:03:21","Microsoft Windows 11 Pro x64","10.0.22631","8192","7268","235.50","64:1C:67:EC:AB:D3"
"LNINF04","11DUSGAP00","10-10-2024 16:58:42","","15-10-2024 08:33:13","Microsoft Windows 11 Pro x64","10.0.22631","8192","6378","235.50","64:1C:67:EC:C4:37"
"LNINF05","OptiPlex 5050","14-10-2024 20:50:04","","15-10-2024 08:53:23","Microsoft Windows 10 Pro x64","10.0.19045","16384","14949.3","237.80","D0:94:66:DB:F8:8E"
"LNINF06","OptiPlex 5050","20-09-2024 15:43:08","23-09-2024 12:26:19","23-09-2024 12:19:09","Microsoft Windows 10 Pro x64","10.0.19045","16384","4530","235.50","D0:94:66:DB:FD:04"
"LNINF07","11T4S5GD00","04-10-2024 18:23:15","07-10-2024 10:55:29","07-10-2024 06:24:58","Microsoft Windows 11 Pro x64","10.0.22631","8192","3426.6","235.50","D8:CB:8A:D5:50:25"
"LNINFDEBUG","HP ProDesk 400 G3 DM (Brazil)","04-10-2024 18:24:26","","15-10-2024 08:59:39","Microsoft Windows 11 Pro x64","10.0.22631","8192","4820.7","235.60","48:BA:4E:BC:29:95"
"LNINFTMP01","OptiPlex 5050","07-10-2024 16:33:03","","15-10-2024 12:33:53","Microsoft Windows 11 Pro x64","10.0.22631","16384","8768.7","220.70","D0:94:66:DB:FD:04"
"LNLABMOV01","C610","15-10-2024 09:21:54","","15-10-2024 09:24:52","Microsoft Windows 11 Pro x64","10.0.22621","8192","2134.4","222.40","A8:5E:45:04:A7:E4"
"LNLABMOV02","11T4S5GD00","15-10-2024 07:38:43","","15-10-2024 13:43:19","Microsoft Windows 11 Pro x64","10.0.22621","8192","6086.6","221.90","D8:CB:8A:D5:EB:C6"
"LNLABMOV03","11T4S5GD00","15-10-2024 12:47:40","","15-10-2024 13:42:54","Microsoft Windows 11 Pro x64","10.0.22621","8192","2807","222.40","D8:CB:8A:D5:6F:A4"
"LNLABMOV04","C610","15-10-2024 07:40:18","","15-10-2024 13:41:58","Microsoft Windows 11 Pro x64","10.0.22621","8192","5183.4","221.90","A8:5E:45:04:A7:E7"
"LNLABMOV05","C610","09-10-2024 18:43:18","09-10-2024 20:05:58","09-10-2024 18:31:41","Microsoft Windows 11 Pro x64","10.0.22621","8192","1714.4","222.40","A8:5E:45:04:A1:12"
"LNLABMOV11","11T4S5GD00","15-10-2024 07:38:41","","15-10-2024 13:39:55","Microsoft Windows 11 Pro x64","10.0.22621","8192","3402.4","221.90","D8:CB:8A:D5:6F:99"
"LNLABMOV12","11DUSGAP00","15-10-2024 07:40:16","","15-10-2024 13:41:53","Microsoft Windows 11 Pro x64","10.0.22621","8192","5332.9","221.90","64:1C:67:EC:CC:77"
"LNLABMOV13","C610","14-10-2024 10:21:36","","15-10-2024 08:17:40","Microsoft Windows 11 Pro x64","10.0.22621","8192","6030.2","222.40","A8:5E:45:04:A1:7E"
"LNLABMOVXX","Precision Tower 5810","15-10-2024 07:39:03","","15-10-2024 13:40:55","Microsoft Windows 10 Pro x64","10.0.19042","16384","6672.3","2532.00","48:4D:7E:DB:13:02"
"LNLAVANDERIA01","HP ProDesk 400 G3 DM (Brazil)","14-10-2024 08:06:31","14-10-2024 16:39:01","14-10-2024 12:19:10","Microsoft Windows 11 Pro x64","10.0.22631","8192","4452.7","235.60","48:BA:4E:BC:5B:E5"
"LNLAVANDERIA02","HP ProDesk 400 G3 DM (Brazil)","14-10-2024 16:14:45","14-10-2024 16:18:46","14-10-2024 16:17:29","Microsoft Windows 11 Pro x64","10.0.22631","8192","3936.2","235.60","48:BA:4E:BC:6B:6B"
"LNMANUT01","Precision Tower 3430","14-10-2024 08:07:35","","15-10-2024 13:17:40","Microsoft Windows 11 Pro for Workstations x64","10.0.22621","32768","12037","446.30","E4:54:E8:55:DA:BD"
"LNMANUT03","11DUSGAP00","15-10-2024 06:48:09","","15-10-2024 12:53:15","Microsoft Windows 11 Pro x64","10.0.22631","8192","5521.8","235.50","64:1C:67:EC:CD:D5"
"LNMANUT04","11T4S5GD00","15-10-2024 07:45:42","","15-10-2024 10:21:12","Microsoft Windows 11 Pro x64","10.0.22621","8192","5584.4","235.50","D8:CB:8A:D5:5A:DD"
"LNMANUT06","11T4S5GD00","15-10-2024 06:47:34","","15-10-2024 12:48:21","Microsoft Windows 11 Pro x64","10.0.22621","8192","6008.9","235.50","D8:CB:8A:D5:EC:5A"
"LNMANUT09","11DUSGAP00","15-10-2024 07:06:13","","15-10-2024 13:06:54","Microsoft Windows 11 Pro x64","10.0.22631","8192","5586.9","235.50","64:1C:67:EC:C3:F9"
"LNNAUTICA01","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 07:09:59","","15-10-2024 13:11:45","Microsoft Windows 11 Pro x64","10.0.22000","8192","5784.1","235.60","48:BA:4E:BC:19:FA"
"LNNEUROPSIC01","11DUSGAP00","15-10-2024 08:08:59","","15-10-2024 14:10:41","Microsoft Windows 11 Pro x64","10.0.22000","8192","3579.1","235.50","64:1C:67:EC:C3:EC"
"LNNEUROPSIC03","11DUSGAP00","15-10-2024 07:58:08","","15-10-2024 13:59:38","Microsoft Windows 11 Pro x64","10.0.22000","8192","4279","235.50","64:1C:67:EC:CC:73"
"LNNEUROPSIC05","11DUSGAP00","15-10-2024 08:41:06","","15-10-2024 08:41:37","Microsoft Windows 11 Pro x64","10.0.22000","8192","2550.5","235.50","64:1C:67:EC:C3:DD"
"LNNEUROPSIC07","HP ProDesk 400 G3 DM (Brazil)","14-10-2024 12:57:20","14-10-2024 20:03:04","14-10-2024 16:19:57","Microsoft Windows 11 Pro x64","10.0.22631","8192","6612.5","235.60","48:BA:4E:BC:29:2D"
"LNNUTRICAO01","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 09:41:59","","15-10-2024 12:16:58","Microsoft Windows 11 Pro x64","10.0.22631","8192","3989.5","235.50","48:BA:4E:BC:7B:9C"
"LNNUTRICAO02","11T4S5GD00","15-10-2024 07:46:45","","15-10-2024 13:47:24","Microsoft Windows 11 Pro x64","10.0.22631","8192","6205.3","235.50","D8:CB:8A:D5:4F:B3"
"LNNUTRICAO03","11T4S5GD00","15-10-2024 07:43:34","","15-10-2024 13:44:50","Microsoft Windows 11 Pro x64","10.0.22621","8192","5832.6","235.50","D8:CB:8A:D5:6F:94"
"LNNUTRICAO06","11DUSGAP00","15-10-2024 07:00:34","","15-10-2024 13:09:03","Microsoft Windows 11 Pro x64","10.0.22631","8192","3652.5","235.50","64:1C:67:EC:CB:49"
"LNPISCINAS01","C610","15-10-2024 07:48:37","","15-10-2024 13:49:23","Microsoft Windows 11 Pro x64","10.0.22631","8192","5486","235.50","A8:5E:45:04:A1:8A"
"LNPISCINAS02","C610","15-10-2024 08:05:10","","15-10-2024 14:06:26","Microsoft Windows 11 Pro x64","10.0.22631","8192","4559.1","235.50","A8:5E:45:04:A7:C9"
"LNPISCINASNOT01","Latitude 3540","15-10-2024 10:17:26","","15-10-2024 13:57:12","Microsoft Windows 11 Pro x64","10.0.22631","8192","6504.8","235.50","F0:20:FF:B4:CF:E4"
"LNPRES01","HP ProDesk 400 G3 DM (Brazil)","04-10-2024 14:37:00","04-10-2024 14:56:02","04-10-2024 14:40:39","Microsoft Windows 11 Pro x64","10.0.22621","8192","4660.2","235.60","48:BA:4E:BC:8D:20"
"LNQUADRA01","11DUSGAP00","15-10-2024 08:41:37","","15-10-2024 08:42:18","Microsoft Windows 11 Pro x64","10.0.22000","8192","4540.2","235.50","64:1C:67:EC:C3:F1"
"LNQUADRA02","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 08:07:12","","15-10-2024 14:09:01","Microsoft Windows 11 Pro x64","10.0.22631","8192","3978.3","235.60","48:BA:4E:BC:6B:6F"
"LNQUADRA03","11DUSGAP00","15-10-2024 08:07:07","","15-10-2024 14:08:03","Microsoft Windows 11 Pro x64","10.0.22000","8192","7141.6","235.50","64:1C:67:EC:CD:D6"
"LNQUADRA04","C610","15-10-2024 08:16:25","","15-10-2024 08:17:40","Microsoft Windows 11 Pro x64","10.0.22621","8192","3342.2","235.50","A8:5E:45:04:A1:14"
"LNRAD04","11DUSGAP00","15-10-2024 08:44:22","","15-10-2024 08:45:00","Microsoft Windows 11 Pro x64","10.0.22000","8192","1742.7","235.50","64:1C:67:EC:9E:15"
"LNRAD05","11DUSGAP00","15-10-2024 10:31:27","","15-10-2024 14:01:00","Microsoft Windows 11 Pro x64","10.0.22631","8192","5659.9","235.50","64:1C:67:EC:AC:46"
"LNRAD07","C610","15-10-2024 12:59:49","","15-10-2024 13:01:06","Microsoft Windows 11 Pro x64","10.0.22621","8192","1685.3","235.50","A8:5E:45:04:A7:A1"
"LNRAD09","11DUSGAP00","15-10-2024 08:01:50","","15-10-2024 14:02:56","Microsoft Windows 11 Pro x64","10.0.22631","8192","6757.4","235.50","64:1C:67:EC:9E:7E"
"LNRAD11","HP Pro Mini 400 G9 Desktop PC","15-10-2024 13:15:38","","15-10-2024 14:01:40","Microsoft Windows 11 Pro x64","10.0.22631","8192","4506.4","235.50","5C:60:BA:B1:EF:A8"
"LNRADSL01","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 13:41:17","","15-10-2024 14:11:28","Microsoft Windows 11 Pro x64","10.0.22621","8192","4326.4","235.50","48:BA:4E:BC:6B:82"
"LNRADSL02","HP ProDesk 400 G3 DM (Brazil)","10-10-2024 09:13:29","10-10-2024 20:03:05","10-10-2024 15:14:20","Microsoft Windows 11 Pro x64","10.0.22621","8192","4705.1","235.50","48:BA:4E:BC:29:97"
"LNRADSL03","C610","10-10-2024 08:51:20","10-10-2024 19:12:46","10-10-2024 14:53:30","Microsoft Windows 11 Pro x64","10.0.22621","8192","5499.4","235.50","A8:5E:45:04:A7:E6"
"LNRECEP01","C610","15-10-2024 13:31:11","","15-10-2024 13:34:21","Microsoft Windows 11 Pro x64","10.0.22631","8192","3917.4","235.50","A8:5E:45:04:A1:1F"
"LNRECEP02","C610","15-10-2024 08:57:48","","15-10-2024 13:32:07","Microsoft Windows 11 Pro x64","10.0.22631","8192","4778.9","235.50","A8:5E:45:04:A1:7B"
"LNRECEP03","C610","15-10-2024 13:59:13","","15-10-2024 13:32:13","Microsoft Windows 11 Pro x64","10.0.22631","8192","3887.1","235.50","A8:5E:45:04:A1:8F"
"LNRECEP04","11DUSGAP00","15-10-2024 13:39:08","","15-10-2024 13:34:09","Microsoft Windows 11 Pro x64","10.0.22000","8192","2260.5","235.50","64:1C:67:EC:C4:34"
"LNRECEPB01","11DUSGAP00","15-10-2024 07:54:58","","15-10-2024 13:55:54","Microsoft Windows 11 Pro x64","10.0.22000","8192","4889.4","235.50","64:1C:67:EC:CC:70"
"LNRECEPB02","11T4S5GD00","15-10-2024 07:57:14","","15-10-2024 13:58:06","Microsoft Windows 11 Pro x64","10.0.22621","8192","5169.9","235.50","D8:CB:8A:D5:50:67"
"LNREFEITORIO01","OptiPlex 3020","15-10-2024 10:55:51","15-10-2024 13:28:19","15-10-2024 11:04:12","Microsoft Windows 11 Pro x64","10.0.22631","8192","2656.4","220.80","F4:8E:38:E0:3C:D9"
"LNRIRECEP01","11DUSGAP00","15-10-2024 07:18:59","","15-10-2024 13:20:27","Microsoft Windows 11 Pro x64","10.0.22000","8192","6042","235.50","64:1C:67:EC:C3:EB"
"LNRIRECEP02","11DUSGAP00","15-10-2024 12:57:18","","15-10-2024 12:57:51","Microsoft Windows 11 Pro x64","10.0.22000","8192","4061.9","235.50","64:1C:67:EC:CC:75"
"LNRISEC01","11DUSGAP00","15-10-2024 07:40:18","","15-10-2024 13:40:55","Microsoft Windows 11 Pro x64","10.0.22000","8192","5241.9","235.50","64:1C:67:EC:AC:40"
"LNRISEC02","11T4S5GD00","15-10-2024 08:21:12","","15-10-2024 08:22:06","Microsoft Windows 11 Pro x64","10.0.22621","8192","2853.1","235.50","D8:CB:8A:D5:5A:97"
"LNRISEC03","HP Pro Mini 400 G9 Desktop PC","15-10-2024 08:21:41","","15-10-2024 08:22:34","Microsoft Windows 11 Pro x64","10.0.22621","8192","3011.9","235.50","5C:60:BA:B1:4F:67"
"LNRISL01C01","C610","15-10-2024 08:47:18","","15-10-2024 08:48:21","Microsoft Windows 11 Pro x64","10.0.22631","8192","3618.9","235.50","A8:5E:45:04:A7:A7"
"LNRISL01C02","C610","15-10-2024 08:53:48","","15-10-2024 08:54:48","Microsoft Windows 11 Pro x64","10.0.22631","8192","1397.7","235.50","A8:5E:45:04:A4:90"
"LNRISL01C03","11T40031BO","15-10-2024 08:18:45","","15-10-2024 08:19:24","Microsoft Windows 11 Pro x64","10.0.22631","8192","1967.3","235.50","60:C7:27:05:47:97"
"LNRISL02C01","11DUSGAP00","15-10-2024 08:54:23","","15-10-2024 08:55:00","Microsoft Windows 11 Pro x64","10.0.22000","8192","5126.3","235.50","64:1C:67:EC:CC:76"
"LNRISL03C01","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 08:04:48","","15-10-2024 14:05:47","Microsoft Windows 11 Pro x64","10.0.22631","8192","6446.8","235.60","48:BA:4E:BC:29:96"
"LNRISL04C02","11T40031BO","15-10-2024 08:00:14","","15-10-2024 14:01:40","Microsoft Windows 11 Pro x64","10.0.22631","8192","6815.6","235.50","60:C7:27:05:44:D5"
"LNRISL05C01","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 08:10:14","","15-10-2024 14:12:41","Microsoft Windows 11 Pro x64","10.0.22631","8192","4469.1","235.60","48:BA:4E:BC:7B:6E"
"LNRISL05C02","C610","15-10-2024 14:10:04","","15-10-2024 08:15:49","Microsoft Windows 11 Pro x64","10.0.22631","8192","1459.6","235.50","A8:5E:45:04:A1:AE"
"LNRISL05C03","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 09:48:39","","15-10-2024 09:50:41","Microsoft Windows 11 Pro x64","10.0.22631","8192","2706.2","235.60","48:BA:4E:BC:6B:C1"
"LNRISL05C04","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 07:27:49","","15-10-2024 13:29:19","Microsoft Windows 11 Pro x64","10.0.22631","8192","6022.1","235.60","48:BA:4E:BC:7B:7B"
"LNRISL05C05","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 08:06:12","","15-10-2024 14:07:56","Microsoft Windows 11 Pro x64","10.0.22631","8192","3203.2","235.60","48:BA:4E:BC:7B:8F"
"LNRISL05C06","11T40031BO","15-10-2024 08:02:36","","15-10-2024 14:03:26","Microsoft Windows 11 Pro x64","10.0.22631","8192","6968.8","235.50","60:C7:27:05:44:B7"
"LNRISL06C01","Positivo Master C610 MiniPro","15-10-2024 07:40:21","","15-10-2024 13:41:46","Microsoft Windows 11 Pro x64","10.0.22631","8192","5481.6","235.50","D4:5D:DF:16:4C:6F"
﻿
"LNRISL06C02","C610","15-10-2024 09:12:33","","15-10-2024 09:14:07","Microsoft Windows 11 Pro x64","10.0.22631","8192","3879.1","235.50","A8:5E:45:04:A7:EA"
"LNRISL06C03","11T40031BO","15-10-2024 09:51:31","","15-10-2024 09:52:21","Microsoft Windows 11 Pro x64","10.0.22631","8192","1830.3","235.50","60:C7:27:05:47:5F"
"LNRISL07C01","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 08:01:25","","15-10-2024 14:02:28","Microsoft Windows 11 Pro x64","10.0.22631","8192","5561.7","235.50","48:BA:4E:BC:6B:09"
"LNRISL07C02","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 10:03:26","","15-10-2024 10:04:33","Microsoft Windows 11 Pro x64","10.0.22631","8192","1530.6","235.60","48:BA:4E:BC:6B:B0"
"LNRISL07C03","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 09:14:51","","15-10-2024 09:16:00","Microsoft Windows 11 Pro x64","10.0.22631","8192","3809.8","235.60","48:BA:4E:BC:8D:70"
"LNRISL08C01","C610","15-10-2024 07:52:17","","15-10-2024 13:53:15","Microsoft Windows 11 Pro x64","10.0.22631","8192","5973.6","235.50","A8:5E:45:04:A7:F3"
"LNRISL08C02","C610","15-10-2024 08:09:25","","15-10-2024 14:10:42","Microsoft Windows 11 Pro x64","10.0.22631","8192","5535.7","235.50","A8:5E:45:04:A1:C4"
"LNRISL08C03","C610","15-10-2024 07:36:28","","15-10-2024 13:37:14","Microsoft Windows 11 Pro x64","10.0.22631","8192","5628.3","235.50","A8:5E:45:04:A7:F8"
"LNRISL08C04","C610","15-10-2024 07:22:27","","15-10-2024 13:23:14","Microsoft Windows 11 Pro x64","10.0.22631","8192","5340.5","235.50","A8:5E:45:04:A1:08"
"LNRISL08C05","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 08:29:24","","15-10-2024 08:30:17","Microsoft Windows 11 Pro x64","10.0.22631","8192","2027.1","235.60","48:BA:4E:BC:7B:A3"
"LNRISL08C06","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 08:12:47","","15-10-2024 08:13:46","Microsoft Windows 11 Pro x64","10.0.22631","8192","1545.1","235.60","48:BA:4E:BC:7B:B6"
"LNRISL08C07","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 10:36:43","","15-10-2024 14:12:12","Microsoft Windows 11 Pro x64","10.0.22631","8192","4363.7","235.60","48:BA:4E:BC:7B:A4"
"LNSEC01","11T4S5GD00","15-10-2024 13:50:48","","15-10-2024 09:29:57","Microsoft Windows 11 Pro x64","10.0.22621","8192","1692.2","235.50","D8:CB:8A:D5:6F:95"
"LNSEC02","11T4S5GD00","15-10-2024 08:04:05","","15-10-2024 14:05:05","Microsoft Windows 11 Pro x64","10.0.22621","8192","5532.6","235.50","D8:CB:8A:D5:50:23"
"LNSEC03","C610","15-10-2024 07:04:14","","15-10-2024 10:16:57","Microsoft Windows 11 Pro x64","10.0.22631","8192","4139.1","235.50","A8:5E:45:04:A1:86"
"LNSEC04","11T4S5GD00","15-10-2024 14:00:53","","15-10-2024 14:02:11","Microsoft Windows 11 Pro x64","10.0.22621","8192","4148.4","235.50","D8:CB:8A:D5:5A:88"
"LNSEC05","HP ProDesk 400 G6 Desktop Mini PC","15-10-2024 07:34:11","","15-10-2024 13:35:29","Microsoft Windows 11 Pro x64","10.0.22631","8192","4478.1","235.50","30:24:A9:FC:41:8B"
"LNSEC06","C610","15-10-2024 07:38:10","","15-10-2024 13:39:21","Microsoft Windows 11 Pro x64","10.0.22631","8192","7129.9","235.50","A8:5E:45:04:A1:0D"
"LNSECRETARIA02","HP ProDesk 400 G3 DM (Brazil)","10-10-2024 07:28:08","10-10-2024 20:03:04","10-10-2024 19:30:53","Microsoft Windows 11 Pro x64","10.0.22621","8192","3348.2","235.60","48:BA:4E:BC:5B:D7"
"LNSEG01","HP ProDesk 400 G6 Desktop Mini PC","15-10-2024 05:34:38","","15-10-2024 12:48:50","Microsoft Windows 11 Pro x64","10.0.22631","8192","5195.5","235.50","30:24:A9:FC:41:64"
"LNSEG02","HP Pro Mini 400 G9 Desktop PC","15-10-2024 09:16:02","","15-10-2024 13:21:27","Microsoft Windows 11 Pro x64","10.0.22631","8192","4195.3","235.50","5C:60:BA:B1:4F:B6"
"LNSEG03","HP Pro Mini 400 G9 Desktop PC","15-10-2024 08:24:09","","15-10-2024 08:25:29","Microsoft Windows 11 Pro x64","10.0.22631","8192","3475.6","235.50","5C:60:BA:B1:3F:E9"
"LNSEGCAM01","11T4S5GD00","10-10-2024 06:35:49","","15-10-2024 10:32:54","Microsoft Windows 11 Pro x64","10.0.22621","8192","5195.9","235.50","D8:CB:8A:D5:50:82"
"LNSEGCAM02","11T4S5GD00","10-10-2024 06:34:49","","15-10-2024 13:26:39","Microsoft Windows 11 Pro x64","10.0.22621","8192","4757.1","235.50","D8:CB:8A:D5:6F:98"
"LNServicos01","VMware7,1","10-10-2024 12:21:57","","15-10-2024 13:43:19","Microsoft Windows Server 2019 Datacenter x64","10.0.17763","65536","3566.7","39.40","00:50:56:8B:01:32"
"LNSESMT01","11T4S5GD00","15-10-2024 13:45:17","","15-10-2024 13:54:40","Microsoft Windows 11 Pro x64","10.0.22621","8192","6172.7","235.50","D8:CB:8A:D5:6F:8F"
"LNSIHSRV01","VMware Virtual Platform","09-10-2024 11:03:34","","15-10-2024 11:09:03","Microsoft Windows Server 2019 Datacenter x64","10.0.17763","8192","2728.8","149.20","00:50:56:8B:02:4C"
"LNSMARTLAB01","11DUSGAP00","15-10-2024 07:55:43","","15-10-2024 13:56:22","Microsoft Windows 11 Pro x64","10.0.22000","8192","3824.4","235.50","64:1C:67:EC:C3:F5"
"LNSMARTLAB02","11DUSGAP00","15-10-2024 07:57:00","","15-10-2024 13:58:12","Microsoft Windows 11 Pro x64","10.0.22000","8192","6227.3","235.50","64:1C:67:EC:C4:BF"
"LNTOTEM01","T4 PRO","14-10-2024 11:34:30","","15-10-2024 11:21:53","Microsoft Windows 10 Pro x64","10.0.19045","4096","3234","56.70","7C:83:34:BB:78:63"
"LNVINTRANET02","VMware Virtual Platform","05-10-2024 16:42:36","","15-10-2024 08:49:12","Microsoft Windows Server 2012 R2 Datacenter x64","6.3.9600","8192","2353","199.70","00:50:56:AA:5B:AA"
"LNvSetor01","VMware Virtual Platform","14-10-2024 20:06:11","","15-10-2024 12:23:45","Microsoft Windows Server 2012 R2 Datacenter x64","6.3.9600","8192","2807.3","25065.50","00:50:56:92:A1:70"
"LNVSETOR02","VMware Virtual Platform","05-10-2024 16:43:41","","15-10-2024 11:23:13","Microsoft Windows Server 2012 R2 Datacenter x64","6.3.9600","32768","8774.9","51880.60","00:50:56:8B:68:9B"
"LNVSETOR03","VMware Virtual Platform","05-10-2024 16:42:12","","15-10-2024 11:31:44","Microsoft Windows Server 2012 R2 Datacenter x64","6.3.9600","32768","6591.1","22215.40","00:50:56:8B:02:C6"
"LNWDS01","VMware Virtual Platform","09-10-2024 11:59:58","","15-10-2024 13:54:12","Microsoft Windows Server 2019 Datacenter x64","10.0.17763","8192","2295.2","999.20","00:50:56:8B:D0:08"
"LNWSUS","VMware7,1","05-10-2024 16:43:17","","15-10-2024 13:39:08","Microsoft Windows Server 2019 Datacenter x64","10.0.17763","16384","5766.5","844.30","00:50:56:8B:07:42"
