"Endpoint Name","Endpoint FQDN","IP","Antimalware","Network Attack Defense","Advanced Anti-Exploit","Firewall","Content Control","Antiphishing","Web Traffic Scan","Device Control","Power User","Exchange","Advanced Threat Control","Application Control","Hyper Detect","Sandbox Analyzer","Anti-Tampering","Scan Mode"
"LNSEC04","lnsec04.sarah.br","10.1.83.54","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNG08C05","lng08c05.sarah.br","10.1.93.87","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNG08C14","lng08c14.sarah.br","10.1.83.89","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNRECEPB02","lnrecepb02.sarah.br","10.1.93.57","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNGUICHE03C01","lnguiche03c01.sarah.br","10.1.83.98","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNG04C09","lng04c09.sarah.br","10.1.93.127","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNBIOENG11","lnbioeng11.sarah.br","10.1.93.68","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNG09C01","lng09c01.sarah.br","10.1.93.100","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNG08C12","lng08c12.sarah.br","10.1.93.62","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNG08C13","lng08c13.sarah.br","10.1.83.67","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
