Client IP Address	Name	Lease Expiration	Type	Unique ID	Description	Network Access Protection	Probation Expiration	Filter Profile	Policy
10.1.93.67	LNG03BOX04.sarah.br	17/10/2024 10:24:13	DHCP	60c7270545b5		Full Access	N/A	None	
10.1.93.68	LNBIOENG11.sarah.br	17/10/2024 09:03:12	DHCP	d8cb8ad5f062		Full Access	N/A	None	
10.1.93.69	LNG08NOTE01.sarah.br	15/10/2024 14:24:01	DHCP	f020ffb6d5dc		Full Access	N/A	None	
10.1.93.71	LNGUARITA01.sarah.br	Reservation (active)	DHCP	f48e38e046e6		Full Access	N/A	None	
10.1.93.74	LNQUADRA01.sarah.br	17/10/2024 08:55:27	DHCP	641c67ecc3f1		Full Access	N/A	None	
10.1.93.75	LNRISL08C06.sarah.br	17/10/2024 09:02:22	DHCP	48ba4ebc7bb6		Full Access	N/A	None	
10.1.93.76	LNQUADRA04.sarah.br	17/10/2024 21:03:17	DHCP	a85e4504a114		Full Access	N/A	None	
10.1.93.77	LNRISL08C01.sarah.br	17/10/2024 08:14:16	DHCP	a85e4504a7f3		Full Access	N/A	None	
10.1.93.78	LNG03BOX06.sarah.br	17/10/2024 19:54:48	DHCP	60c7270547db		Full Access	N/A	None	
10.1.93.80	LNQUADRA02.sarah.br	17/10/2024 08:57:01	DHCP	48ba4ebc6b6f		Full Access	N/A	None	
10.1.93.81	LNAMBAM02.sarah.br	17/10/2024 09:13:23	DHCP	60c7270544ce		Full Access	N/A	None	
10.1.93.82	android-e0f89b0a530b21cc.sarah.br	Reservation (active)	DHCP	78b8d63343dc		Full Access	N/A	None	
10.1.93.83	LNAMBLJ11C02.sarah.br	17/10/2024 11:24:55	DHCP	d8cb8ad56fac		Full Access	N/A	None	
10.1.93.84	LNRISEC01.sarah.br	17/10/2024 08:49:20	DHCP	641c67ecac40		Full Access	N/A	None	
10.1.93.85		Reservation (active)	DHCP	bcb863c8a852		Full Access	N/A	None	
10.1.93.86	LNG02C08.sarah.br	18/10/2024 10:52:36	DHCP	48ba4ebc6b20		Full Access	N/A	None	
10.1.93.87	LNG08C05.sarah.br	17/10/2024 09:08:02	DHCP	d8cb8ad5eb7c		Full Access	N/A	None	
10.1.93.88	LNG01C01.sarah.br	17/10/2024 09:15:47	DHCP	48ba4ebc6bb3		Full Access	N/A	None	
10.1.93.89	LNRISL01C03.sarah.br	17/10/2024 09:14:35	DHCP	60c727054797		Full Access	N/A	None	
10.1.93.90	LNINF02.sarah.br	18/10/2024 13:13:27	DHCP	782bcbc26eae		Full Access	N/A	None	
10.1.93.91	LNRISL08C05.sarah.br	16/10/2024 09:09:56	DHCP	48ba4ebc7ba3		Full Access	N/A	None	
10.1.93.92	LNG03BOX03.sarah.br	17/10/2024 10:56:21	DHCP	60c727054707		Full Access	N/A	None	
10.1.93.93	LNG04C07.sarah.br	17/10/2024 12:32:09	DHCP	60c7270547d6		Full Access	N/A	None	
10.1.93.97	LNATIV01.sarah.br	18/10/2024 08:48:42	DHCP	48ba4ebc7bc4		Full Access	N/A	None	
10.1.93.98	LNRISL07C03.sarah.br	17/10/2024 11:28:05	DHCP	48ba4ebc8d70		Full Access	N/A	None	
10.1.93.99	LNATIV02.sarah.br	17/10/2024 11:23:44	DHCP	48ba4ebc6b73		Full Access	N/A	None	
10.1.93.100	LNG09C01.sarah.br	17/10/2024 10:13:19	DHCP	f4390942acb9		Full Access	N/A	None	
10.1.93.101	LNAMBLJ08.sarah.br	17/10/2024 10:20:43	DHCP	60c7270546b7		Full Access	N/A	None	
10.1.93.102	LNCOSTURARIA02.sarah.br	17/10/2024 17:53:50	DHCP	a85e4504a1cb		Full Access	N/A	None	
10.1.93.103	LNAVD01.sarah.br	17/10/2024 13:34:20	DHCP	48ba4ebc7b96		Full Access	N/A	None	
10.1.93.104	LNSEC05.sarah.br	17/10/2024 09:02:07	DHCP	3024a9fc418b		Full Access	N/A	None	
10.1.93.105	LNAMBLJ04.sarah.br	18/10/2024 14:26:16	DHCP	60c7270547d5		Full Access	N/A	None	
10.1.93.106	LNAMBAM01.sarah.br	18/10/2024 14:23:02	DHCP	60c7270547cc		Full Access	N/A	None	
10.1.93.107	LNAMBLJ05.sarah.br	17/10/2024 09:01:29	DHCP	60c7270544dd		Full Access	N/A	None	
10.1.93.108	LNAMBLJ10.sarah.br	17/10/2024 10:29:22	DHCP	60c7270545c1		Full Access	N/A	None	
10.1.93.109	LNINFNOTE01.sarah.br	15/10/2024 10:57:51	DHCP	34e6d7063337		Full Access	N/A	None	
10.1.93.110	LNAMBVD08.sarah.br	16/10/2024 09:06:05	DHCP	60c7270544c0		Full Access	N/A	None	
10.1.93.111	LNRISL05C06.sarah.br	17/10/2024 08:52:33	DHCP	60c7270544b7		Full Access	N/A	None	
10.1.93.112	LNAMBLJ02.sarah.br	16/10/2024 17:59:32	DHCP	60c727054725		Full Access	N/A	None	
10.1.93.113	LNG07C02.sarah.br	17/10/2024 10:01:18	DHCP	d8cb8ad56f9b		Full Access	N/A	None	
10.1.93.114	LNAMBVD04.sarah.br	17/10/2024 09:44:25	DHCP	60c7270544d4		Full Access	N/A	None	
10.1.93.116	LNG02C09.sarah.br	17/10/2024 17:47:29	DHCP	48ba4ebc7b92		Full Access	N/A	None	
10.1.93.118	LNG03BOX01.sarah.br	17/10/2024 17:08:31	DHCP	60c7270544cb		Full Access	N/A	None	
10.1.93.119	LNBRIGADA01.sarah.br	Reservation (active)	None	f04da2e5b3b8		Full Access	N/A	None	
10.1.93.120	LNG04C03.sarah.br	17/10/2024 11:15:13	DHCP	60c7270545d6		Full Access	N/A	None	
10.1.93.126	iPad-tomb-97226.sarah.br	18/10/2024 13:20:33	DHCP	a4e975a6f626		Full Access	N/A	None	
10.1.93.127	LNG04C09.sarah.br	17/10/2024 10:24:15	DHCP	5c60bab13fbd		Full Access	N/A	None	
10.1.93.128	LNINF05.sarah.br	17/10/2024 20:01:58	DHCP	d09466dbf88e		Full Access	N/A	None	
10.1.93.129	LNG04C10.sarah.br	17/10/2024 10:16:28	DHCP	5c60bab14f6f		Full Access	N/A	None	
