Nome,Possui AD,Possui Bitdefender,Possui DHCP,Possui Kace
"LNG04C04",Sim,Sim,Sim,Sim
"LNRISL06C03",Sim,Sim,Sim,Sim
"LNRISL08C07",Sim,Sim,Sim,Sim
"LNG04C03",Sim,Sim,Sim,Sim
"LNG03NOTE01",Sim,Sim,Sim,Sim
"LNG08C11",Sim,Sim,Sim,Sim
"LNGUICHE02",Sim,Sim,Sim,Sim
"LNPISCINASNOT01",Sim,Sim,Sim,Sim
"LNPISCINAS01",Sim,Sim,Sim,Sim
"LNBIOENGNOTE01",Sim,Sim,Sim,Sim
"LNG08NOTE01",Sim,Sim,Sim,Sim
"LNRISL08C01",Sim,Sim,Sim,Sim
"LNRISL07C03",Sim,Sim,Sim,Sim
"LNNAUTICA01",Sim,Sim,Sim,Sim
"LNG02C07",Sim,Sim,Sim,Sim
"LNSEC03",Sim,Sim,Não,Sim
"LNRISL05C04",Sim,Sim,Sim,Sim
"LNCOSTURARIA02",Sim,Sim,Sim,Sim
"LNSESMT01",Sim,Sim,Sim,Sim
"LNQUADRA03",Sim,Sim,Sim,Sim
"LNG01C03",Sim,Sim,Sim,Sim
"LNG02C08",Sim,Sim,Sim,Sim
"LNRISL05C02",Sim,Sim,Sim,Sim
"LNDR01",Sim,Sim,Sim,Sim
"LNG03BOX04",Sim,Sim,Sim,Sim
"LNBRIGADA01",Sim,Sim,Sim,Sim
"LNG03BOX06",Sim,Sim,Sim,Sim
"LNG04C05",Sim,Sim,Sim,Sim
"LNREFEITORIO01",Sim,Sim,Sim,Sim
"LNRISL07C02",Sim,Sim,Sim,Sim
"LNRISEC02",Sim,Sim,Sim,Sim
"LNAMBLJ10",Sim,Sim,Sim,Sim
"LNRISL08C05",Sim,Sim,Sim,Sim
"LNBIOENG06",Sim,Sim,Sim,Sim
"LNRISL06C02",Sim,Sim,Sim,Sim
"LNAMBAM02",Sim,Sim,Sim,Sim
"LNBIOENG04",Sim,Sim,Sim,Sim
"LNDR03",Sim,Sim,Não,Sim
"LNATIV02",Sim,Sim,Sim,Sim
"LNATIV01",Sim,Sim,Sim,Sim
"LNINF04",Sim,Sim,Sim,Sim
"LNDR02",Sim,Sim,Sim,Sim
"LNGUARITA01",Sim,Sim,Sim,Sim
"LNG07C01",Sim,Sim,Sim,Sim
"LNINF03",Sim,Sim,Sim,Sim
"LNINFNOTE02",Sim,Não,Não,Não
"LNALMOX03",Sim,Sim,Sim,Sim
"LNINF00",Sim,Sim,Sim,Sim
"LNINF02",Sim,Sim,Sim,Sim
"LNINF05",Sim,Sim,Sim,Sim
"LNCHAMADA00",Sim,Não,Não,Não
"LNLABMOVXX",Sim,Sim,Sim,Sim
"LNBIOENG09",Sim,Sim,Sim,Sim
"BSBDENSITOMETRO",Sim,Sim,Não,Não
"LNTOTEM01",Sim,Sim,Sim,Sim
"Endpoint Name",Não,Sim,Não,Não
"LNIMP01",Sim,Sim,Não,Sim
"LNALMOX03",Sim,Sim,Sim,Sim
"LNINF01",Sim,Sim,Sim,Sim
"LNINF04",Sim,Sim,Sim,Sim
"LNG07C01",Sim,Sim,Sim,Sim
"LNMANUT01",Sim,Sim,Sim,Sim
"LNINFNOTE01",Sim,Sim,Sim,Não
"LNSEGCAM01",Sim,Sim,Sim,Sim
"LNSEGCAM02",Sim,Sim,Sim,Sim
"LNNUTRICAO02",Sim,Sim,Sim,Sim
"LNDR02",Sim,Sim,Sim,Sim
"LNSEG01",Sim,Sim,Sim,Sim
"LNSEG02",Sim,Sim,Sim,Sim
"LNALMOXNUTRI02",Sim,Sim,Sim,Sim
"LNG10C02",Sim,Sim,Sim,Sim
"LNINFDEBUG",Sim,Sim,Sim,Sim
"LNBIOENG03",Sim,Sim,Sim,Não
"LNAUDITORIO02",Sim,Sim,Não,Sim
"LNAUDITORIO01",Sim,Sim,Não,Sim
"LNINF07",Sim,Sim,Não,Sim
"LNBIOENG02",Sim,Sim,Sim,Sim
"LNSEG03",Sim,Sim,Sim,Sim
"LNGUARITA01",Sim,Sim,Sim,Sim
"LNINFTMP01",Sim,Sim,Sim,Sim
"LNINF03",Sim,Sim,Sim,Sim
"LNATIV02",Sim,Sim,Sim,Sim
"LNATIV03",Sim,Sim,Sim,Sim
"LNATIV01",Sim,Sim,Sim,Sim
"LNAVD01",Sim,Sim,Sim,Sim
"LNCENOGRAFICA01",Sim,Sim,Não,Não
"LNDR03",Sim,Sim,Não,Sim
"LNCOORDENF01",Sim,Sim,Sim,Sim
"LNG02C09",Sim,Sim,Sim,Sim
"LNG02C07",Sim,Sim,Sim,Sim
"LNRADSL02",Sim,Sim,Não,Sim
"LNG03C01",Sim,Sim,Sim,Sim
"LNG01C02",Sim,Sim,Sim,Sim
"LNRAD07",Sim,Sim,Sim,Sim
"LNG08C07",Sim,Sim,Sim,Sim
"LNAMB04",Sim,Sim,Sim,Sim
"LNG08C06",Sim,Sim,Sim,Sim
"LNG04BOX01",Sim,Sim,Sim,Sim
"LNAMB01",Sim,Sim,Sim,Sim
"LNG01C04",Sim,Sim,Sim,Sim
"LNG02C02",Sim,Sim,Sim,Sim
"LNNUTRICAO01",Sim,Sim,Sim,Sim
"LNQUADRA01",Sim,Sim,Sim,Sim
"LNNEUROPSIC01",Sim,Sim,Sim,Sim
"LNG02C01",Sim,Sim,Sim,Sim
"LNG08C10",Sim,Sim,Sim,Sim
"LNRIRECEP02",Sim,Sim,Sim,Sim
"LNRISL02C01",Sim,Sim,Sim,Sim
"LNRECEPB01",Sim,Sim,Sim,Sim
"LNNEUROPSIC03",Sim,Sim,Sim,Sim
"LNRIRECEP01",Sim,Sim,Sim,Sim
"LNQUADRA03",Sim,Sim,Sim,Sim
"LNG04C01",Sim,Sim,Sim,Sim
"LNNEUROPSIC05",Sim,Sim,Sim,Sim
"LNG08C09",Sim,Sim,Sim,Sim
"LNG08C08",Sim,Sim,Sim,Sim
"LNSMARTLAB01",Sim,Sim,Sim,Sim
"LNSMARTLAB02",Sim,Sim,Sim,Sim
"LNRAD04",Sim,Sim,Sim,Sim
"LNG08C11",Sim,Sim,Sim,Sim
"LNG08C02",Sim,Sim,Sim,Sim
"LNG08C04",Sim,Sim,Sim,Sim
"LNG08C03",Sim,Sim,Sim,Sim
"LNELO01",Sim,Sim,Não,Sim
"LNG01C01",Sim,Sim,Sim,Sim
"LNNAUTICA01",Sim,Sim,Sim,Sim
"LNG11C01",Sim,Sim,Sim,Sim
"LNRECEP04",Sim,Sim,Sim,Sim
"LNG08C01",Sim,Sim,Sim,Sim
"LNRADSL03",Sim,Sim,Não,Sim
"LNRADSL01",Sim,Sim,Sim,Sim
"LNRISL08C04",Sim,Sim,Sim,Sim
"LNSECRETARIA02",Sim,Sim,Não,Sim
"LNRISEC01",Sim,Sim,Sim,Sim
"LNRISL06C01",Sim,Sim,Sim,Sim
"LNRISL05C01",Sim,Sim,Sim,Sim
"LNRISL05C03",Sim,Sim,Sim,Sim
"LNRISL07C02",Sim,Sim,Sim,Sim
"LNRISL07C03",Sim,Sim,Sim,Sim
"LNRISL08C01",Sim,Sim,Sim,Sim
"LNRISL08C05",Sim,Sim,Sim,Sim
"LNRISL08C07",Sim,Sim,Sim,Sim
"LNRISL01C02",Sim,Sim,Sim,Sim
"LNRISL05C04",Sim,Sim,Sim,Sim
"LNRISL05C05",Sim,Sim,Sim,Sim
"LNRISL06C02",Sim,Sim,Sim,Sim
"LNRISL08C02",Sim,Sim,Sim,Sim
"LNRISL05C02",Sim,Sim,Sim,Sim
"LNRISL08C06",Sim,Sim,Sim,Sim
"LNG07C02",Sim,Sim,Sim,Sim
"LNAMBLJ11C01",Sim,Sim,Sim,Sim
"LNAMBLJ11C02",Sim,Sim,Sim,Sim
"LNG04C06",Sim,Sim,Sim,Sim
"LNSESMT01",Sim,Sim,Sim,Sim
"LNSEC01",Sim,Sim,Sim,Sim
"LNBIOENG14",Sim,Sim,Sim,Sim
"LNG04C08",Sim,Sim,Não,Sim
"LNMANUT04",Sim,Sim,Sim,Sim
"LNQUADRA04",Sim,Sim,Sim,Sim
"LNAMB03",Sim,Sim,Sim,Sim
"LNNUTRICAO03",Sim,Sim,Sim,Sim
"LNMANUT06",Sim,Sim,Sim,Sim
"LNCOLETA01",Sim,Sim,Não,Sim
"LNRISEC02",Sim,Sim,Sim,Sim
"LNSEC02",Sim,Sim,Sim,Sim
"LNSEC04",Sim,Sim,Sim,Sim
"LNG08C05",Sim,Sim,Sim,Sim
"LNG08C14",Sim,Sim,Sim,Sim
"LNRECEPB02",Sim,Sim,Sim,Sim
"LNGUICHE03C01",Sim,Sim,Sim,Sim
"LNG04C09",Sim,Sim,Sim,Sim
"LNBIOENG11",Sim,Sim,Sim,Sim
"LNG09C01",Sim,Sim,Sim,Sim
"LNG08C12",Sim,Sim,Sim,Sim
"LNG08C13",Sim,Sim,Sim,Sim
"LNG03NOTE01",Sim,Sim,Sim,Sim
"LNPISCINASNOT01",Sim,Sim,Sim,Sim
"LNBIOENGNOTE01",Sim,Sim,Sim,Sim
"LNG08NOTE01",Sim,Sim,Sim,Sim
"LNG02NOTE01",Sim,Sim,Sim,Sim
"LNRISEC03",Sim,Sim,Sim,Sim
"LNG04C10",Sim,Sim,Sim,Sim
"LNQUADRA02",Sim,Sim,Sim,Sim
"LNG04C05",Sim,Sim,Sim,Sim
"LNG03BOX03",Sim,Sim,Sim,Sim
"LNAMBLJ07",Sim,Sim,Sim,Sim
"LNAMBLJ09",Sim,Sim,Sim,Sim
"LNAMBVD06",Sim,Sim,Sim,Sim
"LNG03BOX05",Sim,Sim,Sim,Sim
"LNG04C03",Sim,Sim,Sim,Sim
"LNAMBLJ03",Sim,Sim,Sim,Sim
"LNAMBLJ01",Sim,Sim,Sim,Sim
"LNAMBAM03",Sim,Sim,Sim,Sim
"LNAMBAM02",Sim,Sim,Sim,Sim
"LNPISCINAS02",Sim,Sim,Sim,Sim
"LNBIOENG06",Sim,Sim,Sim,Sim
"LNG04C07",Sim,Sim,Sim,Sim
"LNPISCINAS01",Sim,Sim,Sim,Sim
"LNAMBLJ12",Sim,Sim,Sim,Sim
"LNAMBAM01",Sim,Sim,Sim,Sim
"LNG03BOX04",Sim,Sim,Sim,Sim
"LNG03BOX06",Sim,Sim,Sim,Sim
"LNAMBLJ04",Sim,Sim,Sim,Sim
"LNAMBAM04",Sim,Sim,Sim,Sim
"LNAMBLJ08",Sim,Sim,Sim,Sim
"LNAMBLJ05",Sim,Sim,Sim,Sim
"LNG04C02",Sim,Sim,Sim,Sim
"LNBIOENG04",Sim,Sim,Sim,Sim
"LNAMBLJ06",Sim,Sim,Sim,Sim
"LNDR01",Sim,Sim,Sim,Sim
"LNAMBAM05",Sim,Sim,Sim,Sim
"LNALMOXNUTRI01",Sim,Sim,Sim,Sim
"LNBRIGADA01",Sim,Sim,Sim,Sim
"LNAMBVD02",Sim,Sim,Não,Sim
"LNAMBVD08",Sim,Sim,Sim,Sim
"LNAMBVD04",Sim,Sim,Sim,Sim
"LNCOLABORADOR01",Sim,Sim,Sim,Sim
"LNG03BOX02",Sim,Sim,Sim,Sim
"LNDR04",Sim,Sim,Não,Sim
"LNG04C04",Sim,Sim,Sim,Sim
"LNG03BOX01",Sim,Sim,Sim,Sim
"LNCOSTURARIA01",Sim,Sim,Sim,Sim
"LNBIOENG01",Sim,Sim,Sim,Sim
"LNRAD11",Sim,Sim,Sim,Sim
"LNRISL04C02",Sim,Sim,Sim,Sim
"LNRISL01C03",Sim,Sim,Sim,Sim
"LNRISL05C06",Sim,Sim,Sim,Sim
"LNRISL06C03",Sim,Sim,Sim,Sim
"LNNUTRICAO05",Sim,Sim,Não,Não
"LNG03C03",Sim,Sim,Sim,Sim
"LNSEC06",Sim,Sim,Sim,Sim
"LNREFEITORIO01",Sim,Sim,Sim,Sim
"LNCOSTURARIA02",Sim,Sim,Sim,Sim
"LNG01C03",Sim,Sim,Sim,Sim
"LNSEC03",Sim,Sim,Não,Sim
"LNG02C08",Sim,Sim,Sim,Sim
"LNSEC05",Sim,Sim,Sim,Sim
"LNRISL03C01",Sim,Sim,Sim,Sim
"LNGUICHE03",Sim,Sim,Sim,Sim
"LNBIOENG07",Sim,Sim,Sim,Sim
"LNGUICHE02",Sim,Sim,Sim,Sim
"LNRECEP01",Sim,Sim,Sim,Sim
"LNNEUROPSIC07",Sim,Sim,Sim,Sim
"LNAMBLJ02",Sim,Sim,Sim,Sim
"LNRISL07C01",Sim,Sim,Sim,Sim
"LNRECEP03",Sim,Sim,Sim,Sim
"LNRISL08C03",Sim,Sim,Sim,Sim
"LNRISL01C01",Sim,Sim,Sim,Sim
"LNRECEP02",Sim,Sim,Sim,Sim
"LNAMBLJ10",Sim,Sim,Sim,Sim
"LNAMB02",Sim,Sim,Sim,Sim
"LNLAVANDERIA02",Sim,Sim,Sim,Sim
"LNLAVANDERIA01",Sim,Sim,Sim,Sim
"LNRAD09",Sim,Sim,Sim,Sim
"LNMANUT09",Sim,Sim,Sim,Sim
"LNCOLABORADOR02",Sim,Sim,Sim,Sim
"LNMANUT03",Sim,Sim,Sim,Sim
"LNRAD05",Sim,Sim,Sim,Sim
"LNNUTRICAO06",Sim,Sim,Sim,Sim
"LNHIGIENE01",Sim,Sim,Sim,Sim
"LNLABMOV02",Sim,Sim,Sim,Sim
"LNLABMOV03",Sim,Sim,Sim,Sim
"LNLABMOV04",Sim,Sim,Sim,Sim
"LNLABMOV01",Sim,Sim,Sim,Sim
"LNLABMOV13",Sim,Sim,Sim,Sim
"LNLABMOV05",Sim,Sim,Não,Sim
"LNLABMOV11",Sim,Sim,Sim,Sim
"LNLABMOV12",Sim,Sim,Sim,Sim
"BSBDENSITOMETRO",Sim,Sim,Não,Não
"LNLABMOVXX",Sim,Sim,Sim,Sim
"LNBIOENG09",Sim,Sim,Sim,Sim
"LNINF02",Sim,Sim,Sim,Sim
"LNINF05",Sim,Sim,Sim,Sim
"LNINF00",Sim,Sim,Sim,Sim
"LNTOTEM01",Sim,Sim,Sim,Sim
"LNCOORDENACAO04",Sim,Sim,Sim,Sim
"LNCOORDENACAO03",Sim,Sim,Sim,Sim
"LNCOORDENACAO01",Sim,Sim,Sim,Sim
"LNCOORDENACAO02",Sim,Sim,Não,Sim
"LNPRES01",Sim,Sim,Não,Sim
"LNBITDEFENDER01",Sim,Sim,Não,Sim
"LNVSETOR01",Sim,Sim,Não,Não
"LNGERENCIA01",Sim,Sim,Não,Sim
"LNVSETOR02",Sim,Sim,Não,Sim
"LNWDS01",Sim,Sim,Não,Sim
"LNBKP01",Sim,Sim,Não,Sim
"LNCAM01",Sim,Sim,Não,Sim
"LNVSETOR03",Sim,Sim,Não,Sim
"LNSIHSRV01",Sim,Sim,Não,Sim
"LNSERVICOS01",Sim,Sim,Não,Não
"LN-CP-IDCOLLECTOR",Sim,Sim,Não,Sim
"LNCAMTMP01",Sim,Sim,Sim,Sim
"LNVINTRANET02",Sim,Sim,Não,Sim
"Name",Não,Não,Sim,Não
"LNRISL05C02",Sim,Sim,Sim,Sim
"LNINF00",Sim,Sim,Sim,Sim
"LNG03C03",Sim,Sim,Sim,Sim
"LNBIOENG04",Sim,Sim,Sim,Sim
"LNG02C07",Sim,Sim,Sim,Sim
"SEPF01D2D59BDFF",Não,Não,Sim,Não
"S21-Ultra-de-Eduardo",Não,Não,Sim,Não
"LNG04C05",Sim,Sim,Sim,Sim
"LNG04BOX01",Sim,Sim,Sim,Sim
"LNRAD11",Sim,Sim,Sim,Sim
"LNBIOENGNOTE01",Sim,Sim,Sim,Sim
"LNSESMT01",Sim,Sim,Sim,Sim
"SpeedwayR-10-CF-E2",Não,Não,Sim,Não
"LNCOLABORADOR01",Sim,Sim,Sim,Sim
"LNALMOX03",Sim,Sim,Sim,Sim
"LNNEUROPSIC07",Sim,Sim,Sim,Sim
"dash",Não,Não,Sim,Não
"LNLABMOV11",Sim,Sim,Sim,Sim
"LNPISCINAS02",Sim,Sim,Sim,Sim
"LNG08C07",Sim,Sim,Sim,Sim
"android-8389623bbef38800",Não,Não,Sim,Não
"LNSEG02",Sim,Sim,Sim,Sim
"LNNAUTICA01",Sim,Sim,Sim,Sim
"LNALMOXNUTRI01",Sim,Sim,Sim,Sim
"LNLABMOV03",Sim,Sim,Sim,Sim
"LNINF01",Sim,Sim,Sim,Sim
"LNRISL05C04",Sim,Sim,Sim,Sim
"LNREFEITORIO01",Sim,Sim,Sim,Sim
"LNGUICHE02",Sim,Sim,Sim,Sim
"LNMANUT03",Sim,Sim,Sim,Sim
"iPad-2",Não,Não,Sim,Não
"LNNEUROPSIC03",Sim,Sim,Sim,Sim
"LNG08C11",Sim,Sim,Sim,Sim
"LNNUTRI01-FD",Não,Não,Sim,Não
"LNLABMOV12",Sim,Sim,Sim,Sim
"LNG04C02",Sim,Sim,Sim,Sim
"LNRISL03C01",Sim,Sim,Sim,Sim
"LNQUADRA03",Sim,Sim,Sim,Sim
"LNSEC04",Sim,Sim,Sim,Sim
"android-e5810ba01d63f8be",Não,Não,Sim,Não
"LNAMBLJ06",Sim,Sim,Sim,Sim
"LNINF04",Sim,Sim,Sim,Sim
"LNRISL05C03",Sim,Sim,Sim,Sim
"LNG08C08",Sim,Sim,Sim,Sim
"LNG02C01",Sim,Sim,Sim,Sim
"LNAMB03",Sim,Sim,Sim,Sim
"LNCOORDENACAO04",Sim,Sim,Sim,Sim
"LNRISL01C01",Sim,Sim,Sim,Sim
"LNSMARTLAB01",Sim,Sim,Sim,Sim
"LNG08C13",Sim,Sim,Sim,Sim
"LNMANUT05",Não,Não,Sim,Não
"LNBIOENG07",Sim,Sim,Sim,Sim
"LNCOLABORADOR02",Sim,Sim,Sim,Sim
"LNINFTMP01",Sim,Sim,Sim,Sim
"LNRISL06C01",Sim,Sim,Sim,Sim
"LNRISEC03",Sim,Sim,Sim,Sim
"ultimakersystem-ccbdd30068cc",Não,Não,Sim,Não
"LNNEUROPSIC01",Sim,Sim,Sim,Sim
"LNSEGCAM02",Sim,Sim,Sim,Sim
"LNAMBAM04",Sim,Sim,Sim,Sim
